+--------+---------------------+-----------------+
| idlogs | data_hora           | dados_recebidos |
+--------+---------------------+-----------------+
|      1 | 2023-10-18 16:36:39 |               6 |
|      2 | 2023-10-18 16:40:22 |             512 |
|      3 | 2023-10-18 16:40:51 |               6 |
|      4 | 2023-10-18 16:40:53 |               2 |
|      5 | 2023-10-18 16:43:11 |           51113 |
|      6 | 2023-10-18 16:43:53 |               6 |
|      7 | 2023-10-18 16:46:03 |             411 |
|      8 | 2023-10-18 16:54:15 |               6 |
|      9 | 2023-10-18 16:54:51 |         1111112 |
|     10 | 2023-10-18 17:15:41 |         1111112 |
|     11 | 2023-10-18 17:28:09 |               6 |
|     12 | 2023-10-18 17:42:10 |               6 |
|     13 | 2023-10-18 18:41:03 |               6 |
|     14 | 2023-10-18 19:35:26 |               2 |
|     15 | 2023-10-18 20:43:39 |               6 |
|     16 | 2023-10-18 23:54:51 |               6 |
|     17 | 2023-10-19 01:15:41 |         1111112 |
|     18 | 2023-10-19 01:54:34 |             311 |
|     19 | 2023-10-19 05:51:17 |               2 |
|     20 | 2023-10-19 07:10:41 |               2 |
|     21 | 2023-10-19 07:40:46 |           11112 |
|     22 | 2023-10-19 08:15:09 |               6 |
|     23 | 2023-10-19 08:19:24 |         1111112 |
|     24 | 2023-10-19 08:22:52 |           11112 |
|     25 | 2023-10-19 08:23:09 |         1111112 |
|     26 | 2023-10-19 09:06:43 |           11112 |
|     27 | 2023-10-19 09:08:02 |         1111112 |
|     28 | 2023-10-19 09:13:10 |             311 |
|     29 | 2023-10-19 09:44:40 |               6 |
|     30 | 2023-10-19 09:44:45 |               2 |
|     31 | 2023-10-19 09:45:20 |             312 |
|     32 | 2023-10-19 09:53:55 |         1111112 |
|     33 | 2023-10-19 09:56:14 |           11112 |
|     34 | 2023-10-19 10:40:06 |               2 |
|     35 | 2023-10-19 10:53:04 |               2 |
|     36 | 2023-10-19 10:53:35 |               6 |
|     37 | 2023-10-19 11:00:33 |               6 |
|     38 | 2023-10-19 11:10:05 |             112 |
|     39 | 2023-10-19 11:10:47 |         1111112 |
|     40 | 2023-10-19 11:15:22 |               2 |
|     41 | 2023-10-19 11:18:28 |           11112 |
|     42 | 2023-10-19 11:20:31 |               6 |
|     43 | 2023-10-19 11:20:45 |           11112 |
|     44 | 2023-10-19 11:21:08 |               6 |
|     45 | 2023-10-19 11:55:59 |             311 |
|     46 | 2023-10-19 12:00:58 |               2 |
|     47 | 2023-10-19 12:09:54 |           11112 |
|     48 | 2023-10-19 12:58:25 |           11112 |
|     49 | 2023-10-19 12:58:58 |               6 |
|     50 | 2023-10-19 12:59:34 |             312 |
|     51 | 2023-10-19 13:40:02 |           11112 |
|     52 | 2023-10-19 13:42:10 |               2 |
|     53 | 2023-10-19 13:48:50 |         1111112 |
|     54 | 2023-10-19 13:56:07 |               6 |
|     55 | 2023-10-19 14:39:05 |               6 |
|     56 | 2023-10-19 15:38:16 |               2 |
|     57 | 2023-10-19 16:25:02 |         1111112 |
|     58 | 2023-10-19 16:34:12 |         1111112 |
|     59 | 2023-10-19 17:02:57 |               2 |
|     60 | 2023-10-19 17:03:20 |               6 |
|     61 | 2023-10-19 17:43:02 |             312 |
|     62 | 2023-10-19 19:37:06 |               2 |
|     63 | 2023-10-19 19:40:13 |               6 |
|     64 | 2023-10-19 20:04:25 |               6 |
|     65 | 2023-10-19 20:46:24 |               2 |
|     66 | 2023-10-19 21:27:42 |               6 |
|     67 | 2023-10-19 21:36:25 |               6 |
|     68 | 2023-10-19 21:42:13 |         1111112 |
|     69 | 2023-10-19 22:04:59 |               6 |
|     70 | 2023-10-19 22:05:38 |         1111112 |
|     71 | 2023-10-19 22:52:49 |             112 |
|     72 | 2023-10-19 23:52:36 |               6 |
|     73 | 2023-10-19 23:52:53 |               6 |
|     74 | 2023-10-20 08:09:32 |           51112 |
|     75 | 2023-10-20 09:42:27 |               2 |
|     76 | 2023-10-20 09:43:37 |               6 |
|     77 | 2023-10-20 12:11:30 |               2 |
|     78 | 2023-10-20 13:14:14 |         1111112 |
|     79 | 2023-10-20 13:45:01 |               2 |
|     80 | 2023-10-20 13:53:09 |               6 |
|     81 | 2023-10-20 14:21:43 |               6 |
|     82 | 2023-10-20 14:21:50 |               2 |
|     83 | 2023-10-20 14:21:55 |             315 |
|     84 | 2023-10-20 14:21:58 |             411 |
|     85 | 2023-10-20 16:14:22 |               6 |
|     86 | 2023-10-20 16:18:05 |           11112 |
|     87 | 2023-10-20 16:18:56 |             311 |
|     88 | 2023-10-20 17:08:15 |               6 |
|     89 | 2023-10-20 18:17:13 |               6 |
|     90 | 2023-10-20 21:12:04 |             313 |
|     91 | 2023-10-21 12:37:07 |               6 |
|     92 | 2023-10-22 13:21:01 |             112 |
|     93 | 2023-10-22 13:21:23 |               6 |
|     94 | 2023-10-22 16:42:55 |           11112 |
|     95 | 2023-10-22 16:43:10 |             411 |
|     96 | 2023-10-22 16:43:14 |               6 |
|     97 | 2023-10-22 17:43:24 |               6 |
|     98 | 2023-10-22 21:14:11 |           11112 |
|     99 | 2023-10-23 08:37:52 |               6 |
|    100 | 2023-10-23 08:49:23 |               6 |
|    101 | 2023-10-23 08:51:09 |         1111112 |
|    102 | 2023-10-23 08:52:01 |           11112 |
|    103 | 2023-10-23 09:51:15 |               2 |
|    104 | 2023-10-23 10:15:04 |         1111112 |
|    105 | 2023-10-23 10:22:15 |               6 |
|    106 | 2023-10-23 10:58:40 |               6 |
|    107 | 2023-10-23 11:00:28 |               2 |
|    108 | 2023-10-23 11:28:09 |         1111112 |
|    109 | 2023-10-23 12:01:55 |               2 |
|    110 | 2023-10-23 12:25:45 |               2 |
|    111 | 2023-10-23 12:26:13 |               6 |
|    112 | 2023-10-23 12:26:13 |             313 |
|    113 | 2023-10-23 13:11:14 |             112 |
|    114 | 2023-10-23 13:11:36 |               6 |
|    115 | 2023-10-23 15:13:50 |               6 |
|    116 | 2023-10-23 19:33:08 |             312 |
|    117 | 2023-10-23 22:16:24 |           11112 |
|    118 | 2023-10-23 22:16:50 |           11112 |
|    119 | 2023-10-23 23:56:53 |               2 |
|    120 | 2023-10-23 23:57:00 |           11112 |
|    121 | 2023-10-23 23:57:09 |           51114 |
|    122 | 2023-10-24 00:02:00 |             112 |
|    123 | 2023-10-24 09:43:50 |               2 |
|    124 | 2023-10-24 10:41:52 |               6 |
|    125 | 2023-10-24 13:00:49 |               2 |
|    126 | 2023-10-24 13:00:55 |               2 |
|    127 | 2023-10-24 13:10:57 |           11112 |
|    128 | 2023-10-24 13:40:43 |               6 |
|    129 | 2023-10-24 15:20:06 |           11112 |
|    130 | 2023-10-24 15:26:35 |               2 |
